material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Sr2VVO6,1.25638,1.96785,1.52015,1.96785,0.48235,1.81085,1.43655,1.81085,0.48015,-3.70916,-4.33008,-0.90065,-1.16686,38,23,5.69487,6.74619,0.05207,0.52766,0.95,1.63,2,4,Sr,V,V,3.75,14.99
Sm2CuPdO6,1.17738,1.99935,1.3427,0.32485,0.8925,1.80355,1.2244,0.32345,0.44545,-3.31902,-5.20587,-0.57557,-3.01067,62,37.5,5.64371,8.03161,0.162,0.89896,1.17,2.05,3,3,Sm,Cu,Pd,8.06,14.2
Sm2MnPtO6,1.24787,1.99935,1.3276,0.32485,0.53685,1.80355,1.2315,0.32345,0.5316,-3.31902,-5.00312,-0.57557,-2.74911,62,51.5,5.64371,8.19643,0.162,0.80255,1.17,1.915,2,4,Sm,Mn,Pt,8.06,21.99
Nd2CuSbO6,1.00866,2.00295,1.1076,0.35015,1.2189,1.89905,1.06945,0.34865,0.75055,-3.25222,-5.71855,-1.29622,-3.20403,60,40,5.525,8.16738,0.09749,1.14159,1.14,1.975,3,3,Nd,Cu,Sb,6.83,9.845
Be2NiTiO6,1.29923,1.08065,1.477,1.08065,0.4418,1.00365,1.3359,1.00365,0.43275,-6.07034,-4.12096,-1.4731,0.1817,4,25,9.3227,7.234,-0.52,0.61635,1.57,1.725,2,4,Be,Ni,Ti,6.02,12.795
Ba2AgTcO6,0.65167,2.20615,1.38115,2.20615,1.00265,2.07185,1.3185,2.07185,0.6083,-3.35828,-4.70733,-1.33494,-3.18519,56,45,5.21166,7.34781,0.14463,0.92824,0.89,1.915,2,4,Ba,Ag,Tc,3.58,18.63
Li2NbTcO6,1.27754,1.61625,1.52015,1.61625,0.73115,0.19135,1.45855,0.19135,0.722,-3.41248,-4.54655,-0.8909,-2.22742,3,42,5.39171,6.93912,0.61805,0.7347,0.98,1.75,1,5,Li,Nb,Tc,1.76,23.635
Na2MoPdO6,1.09878,1.74615,1.51065,1.74615,0.654,0.32095,1.3916,0.28665,0.64555,-3.18997,-4.95034,-0.88318,-1.91519,11,44,5.13908,7.71463,0.54793,0.65474,0.93,2.18,1,5,Na,Mo,Pd,1.82,21.83
Ca2NbWO6,1.26376,1.80815,1.51925,1.80815,0.79375,1.65875,1.4664,1.65875,0.77995,-3.94208,-4.75442,-0.93507,-1.63551,20,57.5,6.11316,7.31144,0.02455,0.86684,1,1.98,2,4,Ca,Nb,W,4.44,25.335
Rb2WWO6,1.34648,2.29415,1.42785,2.29415,0.79785,0.66735,1.38375,0.75565,0.78625,-2.49875,-4.81775,-1.23792,-1.92777,37,74,4.17713,7.86403,0.48592,0.81627,0.82,2.36,1,5,Rb,W,W,1.69,30.76
Ca2PbRuO6,0.79027,1.80815,1.24205,1.80815,1.025,1.65875,1.20835,1.65875,0.9855,-3.94208,-8.44704,-0.93507,-2.49212,20,63,6.11316,7.38859,0.02455,0.70155,1,2.265,2,4,Ca,Pb,Ru,4.44,17.675
Y2CdCrO6,1.11842,1.78395,1.34795,0.95895,0.8434,1.63185,1.2767,1.63185,0.811,-3.97745,-5.34546,-1.37282,-0.80008,39,36,6.21726,7.88017,0.30712,-0.02208,1.22,1.675,3,3,Y,Cd,Cr,8.42,12.875
Ca2BiFeO6,0.78357,1.80815,1.1273,1.80815,0.83465,1.65875,1.08335,1.65875,0.8128,-3.94208,-5.46908,-0.93507,-1.86313,20,54.5,6.11316,7.59399,0.02455,0.5478,1,1.925,2,4,Ca,Bi,Fe,4.44,10.995
Nd2CuMoO6,1.04961,2.00295,1.3729,0.35015,0.96645,1.89905,1.31395,0.34865,0.51775,-3.25222,-5.08717,-1.29622,-2.24199,60,35.5,5.525,7.40941,0.09749,0.99156,1.14,2.03,3,3,Nd,Cu,Mo,6.83,18.39
Cs2NbNbO6,1.12868,2.51755,1.61065,2.51755,0.78965,0.81755,1.54905,0.94155,0.77365,-2.29006,-4.69109,-1.22595,-1.34325,55,41,3.89391,6.75885,0.47163,0.91741,0.79,1.6,1,5,Cs,Nb,Nb,1.43,19.91
Y2SnZnO6,1.08226,1.78395,1.09345,0.95895,1.2351,1.63185,1.0514,1.63185,1.17095,-3.97745,-8.37081,-1.37282,-1.43725,39,40,6.21726,8.36906,0.30712,0.24604,1.22,1.805,3,3,Y,Sn,Zn,8.42,8.045
Nd2CoTiO6,1.31078,2.00295,1.42595,0.35015,0.4491,1.89905,1.35365,0.34865,0.44305,-3.25222,-4.98714,-1.29622,-0.70403,60,24.5,5.525,7.35457,0.09749,0.36891,1.14,1.71,3,3,Nd,Co,Ti,6.83,13.365
La2NiZnO6,1.21251,2.03235,1.2334,1.19775,0.7266,1.88385,1.11685,1.88385,0.69615,-3.5912,-5.15618,-1.49016,0.6445,57,29,5.5769,8.51704,0.55755,0.26858,1.1,1.78,3,3,La,Ni,Zn,6.56,10.31
Li2FeTcO6,1.25973,1.61625,1.34415,1.61625,0.5239,0.19135,1.27455,0.19135,0.52335,-3.41248,-4.80644,-0.8909,-1.99673,3,34.5,5.39171,7.51092,0.61805,0.35262,0.98,1.865,1,5,Li,Fe,Tc,1.76,20.195
Pm2CuNbO6,1.04914,1.98305,1.4078,0.33615,0.9973,1.83585,1.3479,0.33605,0.54565,-3.30607,-5.0169,-1.25847,-2.34036,61,35,5.58187,7.24262,0.129,1.0766,1.13,1.75,3,3,Pm,Cu,Nb,6.83,15.335
Pm2PdTcO6,1.04964,1.98305,1.45505,0.33615,0.62635,1.83585,1.33505,0.33605,0.6218,-3.30607,-4.73553,-1.25847,-2.89773,61,44.5,5.58187,7.72811,0.129,0.55707,1.13,2.05,3,3,Pm,Pd,Tc,6.83,22.5
Ca2GeZrO6,1.13917,1.80815,1.3171,1.80815,1.0225,1.65875,1.2376,1.65875,0.9667,-3.94208,-7.97598,-0.93507,-2.02629,20,36,6.11316,7.26678,0.02455,0.83298,1,1.67,2,4,Ca,Ge,Zr,4.44,11.315
