material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
781,2.15855803828636,400,0.8,0.951975,1.09567,1.28462,0.92846,-5.2140889570424,2.54603897902381,-1.35125350928628,9.47725821131776,4.06300235101574
782,5.46027804362651,200,0.55,1.1194,1.23377,1.077855,0.832995,-4.65120746167985,0.683880494365674,-1.24579498438389,8.85283555071934,3.80352028316773
783,3.26327325135048,360,0.175,1.3070875,1.49312,0.8967675,0.8188575,-4.61557121197344,-2.91804322595896,-0.621801941008376,8.94446712132215,4.16133259015689
784,1.88377689565455,200,0.25,1.31185,1.40645,0.846945,0.735645,-4.08357446635644,-1.65853448633574,-1.05713738703142,8.24063043286797,3.59174652291827
785,5.78630324330357,215,0.5,1.151475,1.26255,1.03937,0.81677,-4.55660196245928,0.293477997582104,-1.21435205149181,8.75080136441078,3.76822465645948
786,3.3345142256725,200,0.45,1.18355,1.29133,1.000885,0.800545,-4.46199646323871,-0.096924499201465,-1.18290911859973,8.64876717810222,3.73292902975124
787,3.96465665077387,340,0.25,1.26955,1.44125,0.932985,0.821685,-4.62269846191473,-2.19765848189403,-0.746600549683478,8.92614080720159,4.08977012875906
788,6.61791680267394,260,0.55,1.108825,1.24247,1.099365,0.854505,-4.78598846056942,0.549099495476102,-1.1681607750469,9.02421314430275,3.92802618462792
789,3.75337244380503,360,0.4,1.1786125,1.35056,1.037685,0.859605,-4.83912446013164,-0.959060492098538,-0.879746453028203,9.14655456933557,4.13340405815369
790,8.95197044363523,250,0.6,1.073225,1.21659,1.14502,0.8779,-4.92552095941984,0.894574992629814,-1.17372563815998,9.18337319513911,4.00482377848956
791,2.12195969280163,215,0.1,1.40455,1.49569,0.73866,0.69414,-3.84468496832459,-2.87466897631631,-0.936930518576196,7.99165373847008,3.52736160994694
792,2.40957476015527,200,0.35,1.2477,1.34889,0.923915,0.768095,-4.27278546479757,-0.877729492768605,-1.12002325281558,8.44469880548509,3.66233777633476
793,8.4514730587759,320,0.05,1.387275,1.56507,0.800555,0.778295,-4.37905746392202,-3.89404946791789,-0.543194608778182,8.68938165555075,4.07309352338628
794,9.4650160075392,360,0.075,1.3677125,1.55358,0.8269675,0.7935775,-4.47128721316217,-3.74377521915596,-0.533038005445226,8.79752461323283,4.1322433038938
795,7.15596883622575,250,0.55,1.1053,1.24537,1.106535,0.861675,-4.83091546019928,0.504172495846245,-1.14228270526791,9.08133900883055,3.96952815178132
796,4.62391699471274,280,0.45,1.165925,1.30583,1.036735,0.836395,-4.686631461388,-0.321559497350752,-1.05351876970476,8.93439650074123,3.94043886551824
797,8.54959745493692,300,0.7,1.0126,1.15613,1.21482,0.90318,-5.06980495823112,1.72030698582681,-1.26248957372313,9.33031570322844,4.03391306475265
798,6.93504467245897,340,0.6,1.066175,1.22239,1.15936,0.89224,-5.01537495867956,0.8047209933701,-1.12196949860199,9.29762492419472,4.08782771279636
799,6.84462910415945,280,0.5,1.137375,1.27415,1.06805,0.84545,-4.73630996097871,0.113769999062675,-1.11083977237583,8.97930482252199,3.93423252507308
800,2.27868611073291,215,0.15,1.36895,1.46981,0.784315,0.717535,-3.98421746717501,-2.5291934791626,-0.942495381689277,8.15081378930645,3.60415920380859
801,4.39209749857557,300,0.5,1.1268,1.28285,1.08956,0.86696,-4.87109095986828,-0.021010999826898,-1.03320556303884,9.15068241610539,4.05873842653328
802,4.13363563454859,340,0.025,1.4138875,1.57076,0.7598025,0.7486725,-4.19697371542217,-3.9544697174201,-0.60510735166913,8.46698696881306,3.93093980857197
803,8.23013835418257,340,0.025,1.4033125,1.57946,0.7813125,0.7701825,-4.33175471431174,-4.08925071630967,-0.527473142332144,8.63836456239647,4.05544571003216
804,9.21779424534854,340,0.05,1.387275,1.56507,0.800555,0.778295,-4.37905746392202,-3.89404946791789,-0.543194608778182,8.68938165555075,4.07309352338628
805,3.93684765014865,305,0.05,1.4049,1.55057,0.764705,0.742445,-4.15442246577274,-3.6694144697686,-0.672584957673159,8.40375233291174,3.86558368761929
806,4.08108138699326,340,0.175,1.3176625,1.48442,0.8752575,0.7973475,-4.48079021308387,-2.78326222706939,-0.699436150345362,8.77308952773875,4.03682668869669
807,6.48043883508516,320,0.025,1.4086,1.57511,0.7705575,0.7594275,-4.26436421486695,-4.02186021686488,-0.566290247000637,8.55267576560476,3.99319275930206
808,1.49624779327066,360,0.45,1.1624,1.30873,1.043905,0.843565,-4.73155846101785,-0.36648649698061,-1.02764069992576,8.99152236526903,3.98194083267163
809,12.7237801310612,250,0.7,1.01965,1.15033,1.20048,0.88884,-4.97995095897141,1.81016098508653,-1.31424571328112,9.21606397417283,3.95090913044585
810,10.8535335145766,300,0.7,1.0126,1.15613,1.21482,0.90318,-5.06980495823112,1.72030698582681,-1.26248957372313,9.33031570322844,4.03391306475265
811,5.08158246888543,260,0.45,1.1712125,1.30148,1.02598,0.82564,-4.61924096194321,-0.254168997905966,-1.09233587437325,8.84870770394953,3.87818591478814
812,5.08415086168628,340,0.025,1.4086,1.57511,0.7705575,0.7594275,-4.26436421486695,-4.02186021686488,-0.566290247000637,8.55267576560476,3.99319275930206
813,3.80601901852166,350,0.325,1.2214375,1.39808,0.9907125,0.8460225,-4.76460671074558,-1.61205473671868,-0.793764949021594,9.07919208666443,4.14271356882142
814,2.77810770788437,215,0.25,1.3048,1.41225,0.861285,0.749985,-4.17342846561615,-1.74838848559546,-1.00538124747343,8.35488216192357,3.67475045722507
815,1.77072604881548,360,0.525,1.1178125,1.26266,1.0944625,0.8607325,-4.82853971021885,0.264044247824602,-1.10068316904287,9.08744778020407,3.9933823055806
816,5.09859045090994,250,0.45,1.165925,1.30583,1.036735,0.836395,-4.686631461388,-0.321559497350752,-1.05351876970476,8.93439650074123,3.94043886551824
817,3.19218505430074,305,0.15,1.3478,1.48721,0.827335,0.760555,-4.25377946495416,-2.79875547694174,-0.787226963015305,8.49356897647326,3.85317100672898
818,8.06633178341375,360,0.05,1.387275,1.56507,0.800555,0.778295,-4.37905746392202,-3.89404946791789,-0.543194608778182,8.68938165555075,4.07309352338628
819,6.12346468115068,340,0.1,1.3604875,1.53194,0.828285,0.783765,-4.40627246369781,-3.43625647168953,-0.613454646338753,8.70572704506761,4.04613619936443
